t_us,j1_us,j2_us,j3_us,j4_us,j5_us,g_us
64,1472,1472,1379,1524,1163,1183
40068,1473,1473,1386,1524,1169,1183
80064,1474,1474,1393,1524,1175,1183
120060,1476,1475,1400,1524,1181,1183
160064,1477,1475,1407,1524,1187,1183
200060,1478,1476,1414,1524,1193,1183
240056,1479,1477,1420,1524,1199,1183
280056,1480,1477,1427,1524,1205,1183
321548,1481,1478,1433,1524,1211,1183
360052,1483,1478,1440,1524,1217,1183
400052,1484,1478,1446,1524,1223,1183
440060,1485,1478,1452,1524,1229,1183
480060,1486,1478,1459,1524,1236,1183
520060,1487,1478,1465,1524,1242,1183
560056,1489,1478,1471,1524,1248,1183
600056,1490,1478,1477,1524,1254,1183
641128,1491,1478,1483,1524,1260,1183
680064,1492,1478,1488,1524,1266,1183
720060,1493,1477,1494,1524,1272,1183
760060,1495,1477,1500,1524,1279,1183
800056,1496,1476,1505,1524,1285,1183
840052,1497,1475,1511,1524,1291,1183
880064,1498,1475,1516,1524,1297,1183
920060,1499,1474,1522,1524,1303,1183
960060,1501,1473,1527,1524,1310,1183
1000060,1502,1472,1532,1524,1316,1183
1040060,1503,1471,1538,1524,1322,1183
1080060,1504,1470,1543,1524,1329,1183
1120064,1505,1468,1548,1524,1335,1183
1160052,1507,1467,1553,1524,1341,1183
1200052,1508,1465,1558,1524,1348,1183
1240056,1509,1464,1562,1524,1354,1183
1280492,1510,1462,1567,1524,1360,1183
1320064,1512,1461,1572,1524,1367,1183
1360052,1513,1459,1576,1524,1373,1183
1400052,1514,1457,1581,1524,1380,1183
1440060,1515,1455,1585,1524,1386,1183
1480060,1516,1453,1590,1524,1393,1183
1520064,1518,1450,1594,1524,1399,1183
1560064,1519,1448,1598,1524,1406,1183
1600056,1520,1446,1602,1524,1412,1183
1640052,1521,1443,1606,1524,1419,1183
1680052,1523,1441,1610,1524,1425,1183
1720052,1524,1438,1614,1524,1432,1183
1760060,1525,1435,1618,1524,1438,1183
1800064,1526,1432,1622,1524,1445,1183
1840064,1528,1429,1626,1524,1452,1183
1880052,1529,1426,1629,1524,1458,1183
1920400,1530,1423,1633,1524,1465,1183
1960068,1531,1420,1636,1524,1472,1183
2000060,1533,1416,1639,1524,1479,1183
2040060,1534,1413,1643,1524,1485,1183
2080064,1535,1409,1646,1524,1492,1183
2120064,1536,1406,1649,1524,1499,1183
2160064,1538,1402,1652,1524,1506,1183
2200064,1539,1398,1655,1524,1512,1183
2240052,1540,1394,1658,1524,1519,1183
2280052,1541,1390,1661,1524,1526,1183
2320056,1543,1386,1663,1524,1533,1183
2360056,1544,1382,1666,1524,1540,1183
2400588,1545,1377,1668,1524,1547,1183
2440052,1546,1373,1671,1524,1554,1183
2480052,1548,1368,1673,1524,1561,1183
2520056,1549,1364,1675,1524,1567,1183
2560056,1550,1359,1678,1524,1574,1183
2600060,1552,1354,1680,1524,1581,1183
2640064,1553,1349,1682,1524,1588,1183
2680064,1554,1344,1684,1524,1595,1183
2720052,1555,1339,1685,1524,1602,1183
2760052,1557,1334,1687,1524,1609,1183
2800056,1558,1328,1689,1524,1616,1183
2840056,1559,1323,1690,1524,1623,1183
2880060,1560,1317,1692,1524,1630,1183
2920060,1562,1312,1693,1524,1637,1183
2960064,1563,1306,1694,1524,1644,1183
