joint,from,to,moved
1,90,91,si
1,91,92,si
1,92,93,si
1,93,94,si
1,94,95,si
1,95,96,si
1,96,97,si
1,97,98,si
1,98,99,si
1,99,100,si
1,100,101,si
1,101,102,no
1,102,103,si
1,103,104,si
1,104,105,si
1,105,106,si
1,106,107,si
1,107,108,si
1,108,109,si
1,109,110,si
1,110,111,si
1,111,112,si
1,112,113,si
1,113,114,si
1,114,115,si
1,115,116,si
1,116,117,si
1,117,118,si
1,118,119,si
1,119,120,si
1,120,121,si
1,121,122,si
1,122,123,si
1,123,124,si
1,124,125,si
1,125,126,si
1,126,127,si
1,127,128,si
1,128,129,si
1,129,130,si
1,130,131,si
1,131,132,si
1,132,133,si
1,133,134,si
1,134,135,si
1,135,136,si
1,136,137,si
1,137,138,si
1,138,139,si
1,139,140,si
1,140,141,si
1,141,142,si
1,142,143,si
1,143,144,si
1,144,145,si
1,145,146,si
1,146,147,si
1,147,148,si
1,148,149,si
1,149,150,no
1,150,151,si
1,151,152,si
1,152,153,si
1,153,154,si
1,154,155,si
1,155,156,si
1,156,157,si
1,157,158,si
1,158,159,si
1,159,160,si
1,160,161,si
1,161,162,si
1,162,163,si
1,163,164,si
1,164,165,si
1,165,166,si
1,166,167,si
1,167,168,si
1,168,169,si
1,169,170,si
1,170,171,si
1,171,172,si
1,172,173,si
1,173,174,si
1,174,175,si
1,175,174,no
1,174,173,no
1,173,172,no
1,172,171,no
1,171,170,no
1,170,169,no
1,169,168,si
1,168,167,si
1,167,166,no
1,166,165,no
1,165,164,si
1,164,163,si
1,163,162,si
1,162,161,si
1,161,160,si
1,160,159,si
1,159,158,si
1,158,157,si
1,157,156,si
1,156,155,si
1,155,154,si
1,154,153,si
1,153,152,si
1,152,151,si
1,151,150,si
1,150,149,si
1,149,148,si
1,148,147,si
1,147,146,si
1,146,145,si
1,145,144,si
1,144,143,si
1,143,142,si
1,142,141,si
1,141,140,si
1,140,139,si
1,139,138,si
1,138,137,si
1,137,136,si
1,136,135,si
1,135,134,si
1,134,133,si
1,133,132,si
1,132,131,si
1,131,130,si
1,130,129,si
1,129,128,si
1,128,127,si
1,127,126,si
1,126,125,si
1,125,124,si
1,124,123,si
1,123,122,si
1,122,121,si
1,121,120,si
1,120,119,si
1,119,118,si
1,118,117,si
1,117,116,si
1,116,115,si
1,115,114,si
1,114,113,si
1,113,112,si
1,112,111,si
1,111,110,si
1,110,109,si
1,109,108,si
1,108,107,si
1,107,106,si
1,106,105,si
1,105,104,si
1,104,103,si
1,103,102,si
1,102,101,si
1,101,100,si
1,100,99,si
1,99,98,si
1,98,97,si
1,97,96,si
1,96,95,si
1,95,94,si
1,94,93,si
1,93,92,si
1,92,91,si
1,91,90,si
1,90,89,si
1,89,88,si
1,88,87,si
1,87,86,si
1,86,85,si
1,85,84,si
1,84,83,si
1,83,82,si
1,82,81,si
1,81,80,si
1,80,79,si
1,79,78,si
1,78,77,si
1,77,76,si
1,76,75,si
1,75,74,si
1,74,73,si
1,73,72,si
1,72,71,si
1,71,70,si
1,70,69,si
1,69,68,si
1,68,67,si
1,67,66,si
1,66,65,si
1,65,64,si
1,64,63,si
1,63,62,si
1,62,61,si
1,61,60,si
1,60,59,si
1,59,58,si
1,58,57,si
1,57,56,si
1,56,55,si
1,55,54,si
1,54,53,si
1,53,52,si
1,52,51,si
1,51,50,si
1,50,49,si
1,49,48,si
1,48,47,si
1,47,46,si
1,46,45,si
1,45,44,si
1,44,43,si
1,43,42,si
1,42,41,si
1,41,40,si
1,40,39,no
1,39,38,si
1,38,37,si
1,37,36,si
1,36,35,si
1,35,34,si
1,34,33,si
1,33,32,si
1,32,31,si
1,31,30,si
1,30,29,si
1,29,28,si
1,28,27,si
1,27,26,si
1,26,25,si
1,25,24,si
1,24,23,si
1,23,22,si
1,22,21,si
1,21,20,si
1,20,19,si
1,19,18,si
1,18,17,si
1,17,16,si
1,16,15,si
1,15,14,si
1,14,13,si
1,13,12,si
1,12,11,si
1,11,10,si
1,10,9,si
1,9,8,si
1,8,7,si
1,7,6,si
1,6,5,no
