joint,from,to,moved
1,90,91,no
1,91,92,no
1,92,93,no
1,93,94,no
1,94,95,no
1,95,96,si
1,96,97,si
1,97,98,si
1,98,99,si
1,99,100,si
1,100,101,si
1,101,102,si
1,102,103,si
1,103,104,si
1,104,105,si
1,105,106,si
1,106,107,si
1,107,108,si
1,108,109,si
1,109,110,si
1,110,111,si
1,111,112,si
1,112,113,si
1,113,114,si
1,114,115,si
1,115,116,si
1,116,117,si
1,117,118,si
1,118,119,si
1,119,120,si
1,120,121,si
1,121,122,si
1,122,123,si
1,123,124,si
1,124,125,si
1,125,126,si
1,126,127,si
1,127,128,si
1,128,129,si
1,129,130,si
1,130,131,si
1,131,132,si
1,132,133,si
1,133,134,si
1,134,135,si
1,135,136,si
1,136,137,si
1,137,138,si
1,138,139,si
1,139,140,si
1,140,141,si
1,141,142,si
1,142,143,si
1,143,144,si
1,144,145,si
1,145,146,si
1,146,147,si
1,147,148,si
1,148,149,si
1,149,150,si
1,150,151,si
1,151,152,si
1,152,153,si
1,153,154,si
1,154,155,si
1,155,156,si
1,156,157,si
1,157,158,si
1,158,159,si
1,159,160,si
1,160,161,si
1,161,162,si
1,162,163,si
1,163,164,si
1,164,165,si
1,165,166,si
1,166,167,si
1,167,168,si
1,168,169,si
1,169,170,si
1,170,171,si
1,171,172,si
1,172,173,si
1,173,174,si
1,174,175,si
1,175,174,si
1,169,168,no
1,168,167,si
1,167,166,no
1,166,165,si
1,165,164,si
1,164,163,si
1,163,162,si
1,162,161,si
1,161,160,si
1,160,159,si
1,159,158,si
1,158,157,si
1,157,156,si
1,156,155,si
1,155,154,si
1,154,153,si
1,153,152,si
1,152,151,si
